Entity;Code;Year;Per capita plastic waste (kilograms per person per day);Waste total and missmanaged;GDP per capita, PPP (constant 2011 international $) (Rate);Total population (Gapminder)
Albania;ALB;2010;0.032;missmanaged;992.718.184.117.512;3204284
Algeria;DZA;2010;0.086;missmanaged;128.706.026.985.154;35468208
Angola;AGO;2010;0.045;missmanaged;589.768.284.059.848;19081912
Antigua and Barbuda;ATG;2010;0.051;missmanaged;192.127.201.307.541;88710
Argentina;ARG;2010;0.026;missmanaged;187.120.630.773.436;40412376
Australia;AUS;2010;0.002;missmanaged;414.640.400.696.359;22268384
Bahamas;BHS;2010;0.011;missmanaged;292.219.911.816.149;342877
Bahrain;BHR;2010;0.016;missmanaged;405.705.356.928.307;1261835
Bangladesh;BGD;2010;0.03;missmanaged;244.272.888.765.696;148692131
Barbados;BRB;2010;0.034;missmanaged;164.179.624.523.108;273331
Belgium;BEL;2010;0.002;missmanaged;410.859.189.401.366;10712066
Belize;BLZ;2010;0.053;missmanaged;787.680.958.597.644;311627
Benin;BEN;2010;0.036;missmanaged;181.877.846.075.906;8849892
Bermuda;BMU;2010;0.005;missmanaged;563.950.078.003.539;64941
Bosnia and Herzegovina;BIH;2010;0.061;missmanaged;972.034.217.718.095;3760149
Brazil;BRA;2010;0.017;missmanaged;145.375.671.930.903;194946470
Brunei;BRN;2010;0.001;missmanaged;805.528.644.713.138;398920
Bulgaria;BGR;2010;0.051;missmanaged;152.832.914.751.664;7494332
Cambodia;KHM;2010;0.058;missmanaged;252.292.682.475.402;14138255
Cameroon;CMR;2010;0.038;missmanaged;292.982.911.281.962;19598889
Canada;CAN;2010;0.002;missmanaged;406.993.551.293.841;34016593
Cape Verde;CPV;2010;0.049;missmanaged;582.824.158.804.338;495999
Chile;CHL;2010;0.011;missmanaged;194.420.503.154.635;17113688
China;CHN;2010;0.092;missmanaged;952.581.848.339.164;1341335152
Colombia;COL;2010;0.034;missmanaged;109.005.052.821.616;46294841
Comoros;COM;2010;0.169;missmanaged;141.250.268.663.997;734750
Congo;COG;2010;0.054;missmanaged;518.634.478.845.194;4042899
Costa Rica;CRI;2010;0.047;missmanaged;129.999.921.931.442;4658887
Cote d'Ivoire;CIV;2010;0.086;missmanaged;269.025.800.198.952;19737800
Croatia;HRV;2010;0.028;missmanaged;201.719.575.294.867;4403330
Cyprus;CYP;2010;0.006;missmanaged;339.411.380.158.355;1103647
Democratic Republic of Congo;COD;2010;0.039;missmanaged;660.210.955.818.272;65965795
Denmark;DNK;2010;0.001;missmanaged;439.984.366.716.285;5550142
Dominica;DMA;2010;0.031;missmanaged;101.982.733.729.326;67757
Dominican Republic;DOM;2010;0.039;missmanaged;111.325.526.905.467;9927320
Ecuador;ECU;2010;0.047;missmanaged;935.234.423.681.593;14464739
Egypt;EGY;2010;0.122;missmanaged;985.746.828.190.066;81121077
El Salvador;SLV;2010;0.051;missmanaged;630.077.538.777.337;6192993
Equatorial Guinea;GNQ;2010;0.047;missmanaged;337.233.658.030.152;700401
Eritrea;ERI;2010;0.035;missmanaged;141.636.580.154.238;5253676
Estonia;EST;2010;0.019;missmanaged;227.409.720.038.708;1341140
Fiji;FJI;2010;0.151;missmanaged;735.208.836.002.372;860623
Finland;FIN;2010;0.005;missmanaged;398.481.344.978.775;5364546
France;FRA;2010;0.004;missmanaged;368.558.446.824.064;62787427
Gabon;GAB;2010;0.019;missmanaged;153.557.846.497.731;1505463
Gambia;GMB;2010;0.041;missmanaged;164.424.236.613.493;1728394
Georgia;GEO;2010;0.035;missmanaged;673.378.376.130.988;4352244
Germany;DEU;2010;0.01;missmanaged;404.287.210.307.617;82302465
Ghana;GHA;2010;0.032;missmanaged;305.938.362.640.541;24391823
Greece;GRC;2010;0.004;missmanaged;287.260.792.836.873;11359346
Grenada;GRD;2010;0.064;missmanaged;111.779.997.155.594;104487
Guatemala;GTM;2010;0.105;missmanaged;67.140.635.955.465;14388929
Guinea;GIN;2010;0.025;missmanaged;157.354.495.756.823;9981590
Guinea-Bissau;GNB;2010;0.046;missmanaged;140.036.329.312.665;1515224
Guyana;GUY;2010;0.224;missmanaged;584.785.725.499.679;754493
Haiti;HTI;2010;0.044;missmanaged;150.203.271.141.224;9993247
Honduras;HND;2010;0.079;missmanaged;397.118.299.352.727;7600524
Hong Kong;HKG;2010;0.01;missmanaged;481.077.086.333.279;7053189
Iceland;ISL;2010;0.006;missmanaged;389.780.055.953.415;320136
India;IND;2010;0.009;missmanaged;440.469.700.530.387;1224614327
Indonesia;IDN;2010;0.047;missmanaged;843.349.735.678.452;239870937
Iran;IRN;2010;0.074;missmanaged;179.428.328.426.143;73973630
Iraq;IRQ;2010;0.067;missmanaged;127.175.975.271.684;31671591
Ireland;IRL;2010;0.009;missmanaged;440.304.141.487.055;4469900
Israel;ISR;2010;0.008;missmanaged;297.430.058.727.916;7418400
Italy;ITA;2010;0.003;missmanaged;362.011.615.672.134;60550848
Jamaica;JAM;2010;0.01;missmanaged;799.601.948.795.873;2741052
Japan;JPN;2010;0.003;missmanaged;357.497.566.788.784;126535920
Jordan;JOR;2010;0.086;missmanaged;947.276.832.624.669;6187227
Kenya;KEN;2010;0.023;missmanaged;247.601.074.216.401;40512682
Kiribati;KIR;2010;0.088;missmanaged;173.153.862.650.466;99546
Kuwait;KWT;2010;0.014;missmanaged;75.204.145.116.617;2736732
Latvia;LVA;2010;0.02;missmanaged;182.519.532.813.473;2252060
Lebanon;LBN;2010;0.034;missmanaged;164.517.598.336.606;4227597
Liberia;LBR;2010;0.072;missmanaged;699.653.721.510.599;3994122
Libya;LBY;2010;0.036;missmanaged;296.302.221.484.622;6355112
Lithuania;LTU;2010;0.021;missmanaged;210.706.343.301.646;3323611
Macao;MAC;2010;0.007;missmanaged;981.843.365.009.534;543656
Madagascar;MDG;2010;0.013;missmanaged;138.568.507.168.039;20713819
Malaysia;MYS;2010;0.112;missmanaged;211.072.679.372.523;28401017
Maldives;MDV;2010;0.22;missmanaged;120.055.046.183.167;315885
Malta;MLT;2010;0.018;missmanaged;283.647.993.209.208;416515
Marshall Islands;MHL;2010;0.15;missmanaged;347.915.530.340.683;54038
Mauritania;MRT;2010;0.038;missmanaged;331.697.478.042.489;3459773
Mauritius;MUS;2010;0.122;missmanaged;159.384.192.089.782;1299172
Mexico;MEX;2010;0.012;missmanaged;157.159.721.449.501;113423047
Micronesia (country);FSM;2010;0.085;missmanaged;329.765.693.360.804;NA
Montenegro;MNE;2010;0.046;missmanaged;140.345.845.640.087;631490
Morocco;MAR;2010;0.049;missmanaged;644.325.361.319.481;31951412
Mozambique;MOZ;2010;0.013;missmanaged;917.763.832.040.531;23390765
Myanmar;MMR;2010;0.066;missmanaged;372.121.144.009.279;47963012
Namibia;NAM;2010;0.097;missmanaged;846.084.736.812.378;2283289
Nauru;NRU;2010;0.099;missmanaged;659.243.683.574.598;10255
Netherlands;NLD;2010;0.008;missmanaged;455.246.621.425.733;16612988
New Zealand;NZL;2010;0.007;missmanaged;321.192.155.430.773;4368136
Nicaragua;NIC;2010;0.066;missmanaged;402.871.208.738.128;5788163
Nigeria;NGA;2010;0.085;missmanaged;515.015.881.822.763;158423182
Norway;NOR;2010;0.006;missmanaged;623.504.107.068.751;4883111
Oman;OMN;2010;0.005;missmanaged;453.358.525.168.436;2782435
Pakistan;PAK;2010;0.09;missmanaged;428.360.731.163.635;173593383
Palau;PLW;2010;0.084;missmanaged;118.465.739.334.318;20472
Palestine;PSE;2010;0.005;missmanaged;417.274.568.921.544;NA
Panama;PAN;2010;0.029;missmanaged;156.285.922.438.738;3516820
Papua New Guinea;PNG;2010;0.09;missmanaged;319.158.041.028.301;6858266
Peru;PER;2010;0.039;missmanaged;995.655.663.668.307;29076512
Philippines;PHL;2010;0.062;missmanaged;559.683.728.794.962;93260798
Poland;POL;2010;0.013;missmanaged;217.706.444.359.772;38276660
Portugal;PRT;2010;0.005;missmanaged;272.384.606.724.422;10675572
Puerto Rico;PRI;2010;0.011;missmanaged;339.240.540.101.397;3749009
Qatar;QAT;2010;0.003;missmanaged;125.140.838.348.001;1758793
Romania;ROU;2010;0.011;missmanaged;175.532.832.966.444;21486371
Russia;RUS;2010;0.02;missmanaged;231.077.852.212.759;142958164
Saint Kitts and Nevis;KNA;2010;0.054;missmanaged;21.412.201.453.108;52402
Saint Lucia;LCA;2010;0.113;missmanaged;121.238.351.390.475;174267
Saint Vincent and the Grenadines;VCT;2010;0.051;missmanaged;991.557.761.891.195;109333
Samoa;WSM;2010;0.084;missmanaged;539.989.309.631.838;183081
Sao Tome and Principe;STP;2010;0.085;missmanaged;264.151.394.847.294;165397
Saudi Arabia;SAU;2010;0.016;missmanaged;454.212.284.797.446;27448086
Senegal;SEN;2010;0.086;missmanaged;218.399.505.141.766;12433728
Seychelles;SYC;2010;0.139;missmanaged;203.651.189.331.513;86518
Sierra Leone;SLE;2010;0.035;missmanaged;119.998.985.027.502;5867536
Singapore;SGP;2010;0.004;missmanaged;721.158.395.014.504;5086418
Slovenia;SVN;2010;0.005;missmanaged;286.783.726.303.687;2029680
Solomon Islands;SLB;2010;0.09;missmanaged;187.136.935.209.356;538148
