Year;Movie Title;Actor;Kills;Girls Kissed;Implicitly Slept With (No After Shot);Explicitly Slept With;Tomatoes;Enemy Mastermind Believed Bond Dead;Profitabilty (% of budget recovered)
1962;M1   Dr. No;Connery;5;4;2;1;98%;1;5415%
1963;M2   From Russia With Love;Connery;6;2;3;1;96%;0;3945%
1964;M3   Goldfinger;Connery;3;4;1;1;96%;0;4163%
1965;M4   Thunderball;Connery;14;3;0;3;89%;0;1569%
1967;M5   You Only Live Twice;Connery;17;4;2;0;70%;1;1175%
1969;M6   On Her Majesty's Secret Service;Lazenby;6;3;2;1;82%;1;1025%
1971;M7   Diamonds Are Forever;Connery;6;1;1;0;67%;2;1611%
1973;M8   Live and Let Die;Moore;4;2;0;3;64%;0;2311%
1974;M9   The Man with the Golden Gun;Moore;1;3;2;0;52%;0;1394%
1977;M10 The Spy Who Loved Me;Moore;11;3;0;2;79%;0;1325%
1979;M11 Moonraker;Moore;12;3;1;2;64%;0;678%
1981;M12 For Your Eyes Only;Moore;8;3;1;1;69%;1;698%
1983;M13 Octopussy;Moore;12;2;0;2;47%;1;682%
1985;M14 A View to Kill;Moore;3;4;3;1;39%;3;509%
1987;M15 The Living Daylights;Dalton;4;1;2;0;73%;0;478%
1989;M16 Licence to Kill;Dalton;7;3;2;0;71%;0;372%
1995;M17 Goldeneye;Brosnan;26;3;1;1;80%;0;587%
1997;M18 Tomorrow Never Dies;Brosnan;17;3;1;1;54%;1;303%
1999;M19 The World is Not Enough;Brosnan;17;3;1;2;51%;1;268%
2002;M20 Die Another Day;Brosnan;16;3;0;2;59%;1;304%
2006;M21 Casino Royale;Craig;10;2;0;1;94%;1;583%
2008;M22 Quantum of Solace;Craig;15;2;0;1;65%;0;255%
