Entity;Code;Year;Per capita mismanaged plastic waste (kilograms per person per day);Waste total or missmanaged;Total population (Gapminder);GDP per capita, PPP (constant 2011 international $) (constant 2011 international $)
Albania;ALB;2010;0.032;missmanaged;3204284;992.718.184.117.512
Algeria;DZA;2010;0.086;missmanaged;35468208;128.706.026.985.154
Angola;AGO;2010;0.045;missmanaged;19081912;589.768.284.059.848
Antigua and Barbuda;ATG;2010;0.051;missmanaged;88710;192.127.201.307.541
Argentina;ARG;2010;0.026;missmanaged;40412376;187.120.630.773.436
Australia;AUS;2010;0.002;missmanaged;22268384;414.640.400.696.359
Bahamas;BHS;2010;0.011;missmanaged;342877;292.219.911.816.149
Bahrain;BHR;2010;0.016;missmanaged;1261835;405.705.356.928.307
Bangladesh;BGD;2010;0.03;missmanaged;148692131;244.272.888.765.696
Barbados;BRB;2010;0.034;missmanaged;273331;164.179.624.523.108
Belgium;BEL;2010;0.002;missmanaged;10712066;410.859.189.401.366
Belize;BLZ;2010;0.053;missmanaged;311627;787.680.958.597.644
Benin;BEN;2010;0.036;missmanaged;8849892;181.877.846.075.906
Bermuda;BMU;2010;0.005;missmanaged;64941;563.950.078.003.539
Bosnia and Herzegovina;BIH;2010;0.061;missmanaged;3760149;972.034.217.718.095
Brazil;BRA;2010;0.017;missmanaged;194946470;145.375.671.930.903
Brunei;BRN;2010;0.001;missmanaged;398920;805.528.644.713.138
Bulgaria;BGR;2010;0.051;missmanaged;7494332;152.832.914.751.664
Cambodia;KHM;2010;0.058;missmanaged;14138255;252.292.682.475.402
Cameroon;CMR;2010;0.038;missmanaged;19598889;292.982.911.281.962
Canada;CAN;2010;0.002;missmanaged;34016593;406.993.551.293.841
Cape Verde;CPV;2010;0.049;missmanaged;495999;582.824.158.804.338
Chile;CHL;2010;0.011;missmanaged;17113688;194.420.503.154.635
China;CHN;2010;0.092;missmanaged;1341335152;952.581.848.339.164
Colombia;COL;2010;0.034;missmanaged;46294841;109.005.052.821.616
Comoros;COM;2010;0.169;missmanaged;734750;141.250.268.663.997
Congo;COG;2010;0.054;missmanaged;4042899;518.634.478.845.194
Costa Rica;CRI;2010;0.047;missmanaged;4658887;129.999.921.931.442
Cote d'Ivoire;CIV;2010;0.086;missmanaged;19737800;269.025.800.198.952
Croatia;HRV;2010;0.028;missmanaged;4403330;201.719.575.294.867
Cyprus;CYP;2010;0.006;missmanaged;1103647;339.411.380.158.355
Democratic Republic of Congo;COD;2010;0.039;missmanaged;65965795;660.210.955.818.272
Denmark;DNK;2010;0.001;missmanaged;5550142;439.984.366.716.285
Dominica;DMA;2010;0.031;missmanaged;67757;101.982.733.729.326
Dominican Republic;DOM;2010;0.039;missmanaged;9927320;111.325.526.905.467
Ecuador;ECU;2010;0.047;missmanaged;14464739;935.234.423.681.593
Egypt;EGY;2010;0.122;missmanaged;81121077;985.746.828.190.066
El Salvador;SLV;2010;0.051;missmanaged;6192993;630.077.538.777.337
Equatorial Guinea;GNQ;2010;0.047;missmanaged;700401;337.233.658.030.152
Eritrea;ERI;2010;0.035;missmanaged;5253676;141.636.580.154.238
Estonia;EST;2010;0.019;missmanaged;1341140;227.409.720.038.708
Fiji;FJI;2010;0.151;missmanaged;860623;735.208.836.002.372
Finland;FIN;2010;0.005;missmanaged;5364546;398.481.344.978.775
France;FRA;2010;0.004;missmanaged;62787427;368.558.446.824.064
Gabon;GAB;2010;0.019;missmanaged;1505463;153.557.846.497.731
Gambia;GMB;2010;0.041;missmanaged;1728394;164.424.236.613.493
Georgia;GEO;2010;0.035;missmanaged;4352244;673.378.376.130.988
Germany;DEU;2010;0.01;missmanaged;82302465;404.287.210.307.617
Ghana;GHA;2010;0.032;missmanaged;24391823;305.938.362.640.541
Greece;GRC;2010;0.004;missmanaged;11359346;287.260.792.836.873
Grenada;GRD;2010;0.064;missmanaged;104487;111.779.997.155.594
Guatemala;GTM;2010;0.105;missmanaged;14388929;67.140.635.955.465
Guinea;GIN;2010;0.025;missmanaged;9981590;157.354.495.756.823
Guinea-Bissau;GNB;2010;0.046;missmanaged;1515224;140.036.329.312.665
Guyana;GUY;2010;0.224;missmanaged;754493;584.785.725.499.679
Haiti;HTI;2010;0.044;missmanaged;9993247;150.203.271.141.224
Honduras;HND;2010;0.079;missmanaged;7600524;397.118.299.352.727
Hong Kong;HKG;2010;0.01;missmanaged;7053189;481.077.086.333.279
